Late_Supply,Line_ID
1,181913
0,181919
1,181928
1,182211
1,182212
1,182222
1,186606
1,188598
1,189255
0,189259
1,189260
1,189261
1,189262
1,189263
1,189264
1,189265
1,189266
1,189267
1,189268
1,189269
1,189270
1,189272
1,189273
1,189274
1,189275
1,189276
1,189277
1,189278
1,189279
1,189280
1,189281
1,189282
1,189364
1,189366
1,189560
1,189594
1,189595
0,189848
1,189851
0,189942
1,190084
0,190226
0,190227
1,190228
0,190229
0,190231
0,190232
0,190233
0,190235
1,190300
1,190354
1,190355
1,190518
1,190538
1,190539
1,190593
1,190595
1,190597
0,190602
0,190603
1,190605
0,190606
1,190607
1,190608
1,190610
0,190611
0,190613
0,190792
0,190814
0,190815
0,190817
0,190822
1,190823
1,190826
0,190828
0,190829
0,190830
0,190831
0,190832
0,190833
0,190834
0,190835
0,190836
0,190837
0,190838
0,190839
0,190840
1,190841
0,190842
0,190843
0,190844
0,190845
0,190846
0,190847
0,190848
0,190849
0,190850
0,190851
1,190852
0,190853
0,190854
0,190855
0,190856
0,190857
1,190858
0,190859
0,190860
0,190861
0,190862
0,190863
0,190864
0,190865
0,190866
0,190867
0,190868
0,190869
1,190870
0,190871
0,190872
0,190873
0,190874
1,190875
0,190876
0,190877
0,190878
1,190879
1,190880
0,190881
0,190882
0,190883
0,190884
1,190885
1,190886
0,190887
0,190888
1,190889
0,190890
1,190891
1,190892
0,190893
0,190894
1,190895
0,190896
1,190897
0,191037
1,191039
1,191046
1,191047
1,191081
1,191104
0,191241
0,191287
0,191288
0,191289
0,191290
0,191291
0,191292
0,191293
0,191315
0,191316
0,191317
0,191318
0,191319
0,191320
0,191322
0,191323
1,191339
1,191340
1,191346
1,191347
0,191348
0,191349
1,191418
1,191419
1,191421
1,191422
1,191428
1,191431
1,191448
1,191449
0,191450
1,191451
1,191453
0,191456
0,191472
0,191649
0,191655
0,191677
0,191678
0,191679
0,191680
0,191685
1,191688
1,191691
0,191762
0,191767
0,191770
0,191779
0,191785
0,191788
0,191789
0,191790
0,191791
0,191792
0,191793
1,191885
0,191901
0,191902
1,191944
0,191945
0,191946
0,191947
0,191948
0,191949
0,191950
0,191951
0,191953
0,191956
0,191959
0,191960
0,191961
0,191963
0,191964
0,191967
0,191968
0,191969
0,191970
