Responsible_actor;SUMleges;Case ID;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;Resource;Complete Timestamp;duration;month;weekday;hour;remtime
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_530\\complete;560849;EMPTY;560821;2010-12-23 09:00:00;13410.35;12;3;9;0.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_520\\complete;560849;EMPTY;560821;2010-12-14 01:29:39;989.65;12;1;1;804621.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_2\\complete;560849;EMPTY;560821;2010-12-13 09:00:00;13765.9333333;12;0;9;864000.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_510_1\\complete;560849;EMPTY;560821;2010-12-03 19:34:04;0.883333333333;12;4;19;1689956.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_500\\complete;560849;28;560821;2010-12-03 19:33:11;0.466666666667;12;4;19;1690009.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_2\\complete;560849;EMPTY;560821;2010-12-03 19:32:43;0.216666666667;12;4;19;1690037.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;06_VD_010\\complete;560849;False;560821;2010-12-03 19:32:30;0.0;12;4;19;1690050.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_490_1\\complete;560849;EMPTY;560821;2010-12-03 19:32:30;0.1;12;4;19;1690050.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;05_EIND_010\\complete;560849;False;560821;2010-12-03 19:32:24;3.91666666667;12;4;19;1690056.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_480\\complete;560849;False;560821;2010-12-03 19:28:29;0.0833333333333;12;4;19;1690291.0
560849;126.45;4193601;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_470\\complete;560849;False;560821;2010-12-03 19:28:24;0.1;12;4;19;1690296.0
