label_col,bucket_method,feat_encoding,cls,nr_events,predicted,actual,case_id
remtime,zero,agg,xgb,2,15.953876,7.938634259259259,1010390571_2
remtime,zero,agg,xgb,2,17.031967,16.10423611111111,1017644369_2
remtime,zero,agg,xgb,2,15.184049,9.839756944444442,1019849833_2
remtime,zero,agg,xgb,2,19.779184,5.559513888888889,102041449_2
remtime,zero,agg,xgb,2,17.525154,11.642974537037036,1023366085_2
remtime,zero,agg,xgb,2,16.539602,7.345717592592592,1036492833_2
remtime,zero,agg,xgb,2,13.953493,3.0300694444444445,1043190619_2
remtime,zero,agg,xgb,2,15.785809,6.962280092592592,1047194763_2
remtime,zero,agg,xgb,2,19.126543,1.8239583333333331,1068144226_2
remtime,zero,agg,xgb,2,17.170832,8.327314814814812,109999371_2
remtime,zero,agg,xgb,2,17.254494,5.815439814814815,1102768033_2
remtime,zero,agg,xgb,2,14.037363,0.1003125,1107169322_2
remtime,zero,agg,xgb,2,14.102946,8.923923611111109,1124966685_2
remtime,zero,agg,xgb,2,16.826838,8.872233796296298,1130289017_2
remtime,zero,agg,xgb,2,16.448011,10.173842592592592,1140236377_2
remtime,zero,agg,xgb,2,11.716257,7.274490740740742,115875432_2
remtime,zero,agg,xgb,2,15.52073,13.648125,1161266589_2
remtime,zero,agg,xgb,2,13.878733,1.933703703703704,1164895484_2
remtime,zero,agg,xgb,2,18.41464,4.697222222222221,1170931347_2
remtime,zero,agg,xgb,2,19.084082,10.704016203703702,117667027_2
remtime,zero,agg,xgb,2,12.968381,12.835787037037035,1179073626_2
remtime,zero,agg,xgb,2,10.1889105,8.056064814814814,1181289999_2
remtime,zero,agg,xgb,2,14.072718,8.846712962962963,1191708035_2
remtime,zero,agg,xgb,2,15.398193,12.992118055555556,1191906778_2
remtime,zero,agg,xgb,2,16.500013,6.723680555555554,1194598473_2
remtime,zero,agg,xgb,2,16.555674,7.553252314814816,1204431926_2
remtime,zero,agg,xgb,2,18.174995,9.861736111111114,1206779440_2
remtime,zero,agg,xgb,2,15.906946,10.044594907407408,1212433332_2
remtime,zero,agg,xgb,2,15.812663,5.097731481481481,1219509855_2
remtime,zero,agg,xgb,2,13.434876,4.696111111111111,1226041324_2
remtime,zero,agg,xgb,2,21.704342,15.832731481481481,1248765312_2
remtime,zero,agg,xgb,2,14.70951,6.7173495370370375,125718857_2
remtime,zero,agg,xgb,2,15.888442,7.899293981481482,1266010499_2
remtime,zero,agg,xgb,2,15.967235,20.096099537037038,1270175388_2
remtime,zero,agg,xgb,2,16.23475,8.253530092592593,12716824_2
remtime,zero,agg,xgb,2,15.641584,6.990752314814816,1278282603_2
remtime,zero,agg,xgb,2,17.387012,12.345358796296294,1292203372_2
remtime,zero,agg,xgb,2,14.0845,18.93070601851852,1344840884_2
remtime,zero,agg,xgb,2,20.775187,9.965266203703703,1347888391_2
remtime,zero,agg,xgb,2,14.274819,2.159710648148148,1357696952_2
remtime,zero,agg,xgb,2,14.753059,11.970914351851851,1359639481_2
remtime,zero,agg,xgb,2,11.656317,1.0845601851851852,1359982228_2
remtime,zero,agg,xgb,2,16.361635,9.767465277777776,1361510669_2
remtime,zero,agg,xgb,2,16.059132,4.849328703703704,1395028182_2
remtime,zero,agg,xgb,2,16.182367,2.356493055555556,1403714641_2
remtime,zero,agg,xgb,2,12.465607,19.872997685185187,1429834706_2
remtime,zero,agg,xgb,2,19.353325,6.644375,1439034221_2
remtime,zero,agg,xgb,2,15.038859,13.353483796296294,1445301194_2
remtime,zero,agg,xgb,2,17.087053,7.563668981481483,1452593339_2
remtime,zero,agg,xgb,2,18.700348,8.165891203703703,1459684566_2
remtime,zero,agg,xgb,2,16.469015,16.759733796296295,1470819740_2
remtime,zero,agg,xgb,2,15.87372,13.069224537037034,1495187612_2
remtime,zero,agg,xgb,2,15.640256,6.957951388888889,1506673860_2
remtime,zero,agg,xgb,2,19.626348,7.1393402777777775,1509724255_2
remtime,zero,agg,xgb,2,14.4140215,13.991099537037034,1518842217_2
remtime,zero,agg,xgb,2,15.951421,23.56107638888889,1531372937_2
remtime,zero,agg,xgb,2,17.363956,14.453680555555556,1534175598_2
remtime,zero,agg,xgb,2,18.636795,4.93707175925926,1541826188_2
remtime,zero,agg,xgb,2,16.104748,11.009004629629631,1568090978_2
