,Gini-importance
NumberOfTerms_mean,0.08015410602092743
FirstWithdrawalAmount_mean,0.07902649790048599
duration_max,0.066904716193676
OfferedAmount_mean,0.0641796663403511
Action_statechange,0.06286412477493286
duration_mean,0.06286412477493286
duration_sum,0.053843263536691666
NumberOfTerms_max,0.032418716698884964
FirstWithdrawalAmount_max,0.0289419274777174
EventOrigin_Application,0.023303890600800514
NumberOfTerms_std,0.02320992201566696
OfferedAmount_max,0.0228340532630682
LoanGoal_Home improvement,0.019263295456767082
duration_std,0.017008081078529358
Resource_other,0.016726179048419
Resource_User_1,0.015974441543221474
EventOrigin_Offer,0.015786506235599518
LoanGoal_Car,0.015504604205489159
FirstWithdrawalAmount_sum,0.015128735452890396
OfferedAmount_sum,0.013625258579850197
